epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.9363,1.40858,3.08153,1.68929,0.00333,0.95652,0.3513,0.15741,1.2725,3.49841,1.54641,0.0002,0.0002,0.0002
2,79.6463,1.36924,2.46473,1.55241,0.3359,0.69565,0.57037,0.30873,1.29317,3.2555,1.47035,0.000411684,0.000411684,0.000411684
3,120.588,1.35454,2.05323,1.56541,0.00348,1,0.75786,0.36236,1.12538,3.229,1.4156,0.000614656,0.000614656,0.000614656
4,157.769,1.24109,1.95418,1.4515,1,0.36752,0.91121,0.49794,1.34632,2.88315,1.48198,0.000808916,0.000808916,0.000808916
5,193.461,1.22423,1.85002,1.41577,0.78641,0.34783,0.61181,0.36441,1.38668,2.88725,1.45271,0.000994464,0.000994464,0.000994464
6,229.094,1.30289,1.81481,1.40814,0.75616,0.56522,0.68007,0.42373,1.44519,2.59082,1.46851,0.0011713,0.0011713,0.0011713
7,264.857,1.25693,1.72048,1.41703,0.93866,0.66585,0.68777,0.29914,1.58988,2.82793,1.61018,0.00133942,0.00133942,0.00133942
8,302.747,1.26881,1.77096,1.44763,0.83183,0.64551,0.69269,0.31903,1.69897,2.70531,1.71576,0.00149884,0.00149884,0.00149884
9,338.968,1.3426,1.72111,1.46109,0.79414,0.43478,0.63316,0.34413,1.45358,3.23116,1.71416,0.00164954,0.00164954,0.00164954
10,374.929,1.27754,1.77109,1.45513,0.43703,0.30435,0.32424,0.12776,1.90639,5.28596,2.37497,0.0016436,0.0016436,0.0016436
11,410.753,1.4128,1.67964,1.51671,0.74098,0.30435,0.41111,0.16667,1.95499,3.75479,2.3074,0.001604,0.001604,0.001604
12,448.187,1.33898,1.62556,1.46097,0.4555,0.3913,0.40653,0.19758,1.81838,3.96194,1.92445,0.0015644,0.0015644,0.0015644
13,484.16,1.23094,1.47362,1.34346,0.42509,0.43478,0.4553,0.25316,1.63902,3.34877,1.79071,0.0015248,0.0015248,0.0015248
14,520.135,1.35473,1.54809,1.46537,0.63867,0.6087,0.59261,0.19776,1.88197,3.3589,2.03741,0.0014852,0.0014852,0.0014852
15,556.115,1.21301,1.51643,1.41968,0.35463,0.56522,0.46806,0.27155,1.53534,3.63411,1.61897,0.0014456,0.0014456,0.0014456
16,592.105,1.32787,1.59373,1.48788,0.42431,0.56522,0.50066,0.30857,1.56156,3.52956,1.6288,0.001406,0.001406,0.001406
17,627.882,1.26054,1.47302,1.40329,0.7298,0.3913,0.40808,0.23724,1.77654,3.01391,1.92708,0.0013664,0.0013664,0.0013664
18,663.936,1.255,1.44779,1.4314,0.64414,0.56522,0.48936,0.27628,1.7402,3.39581,1.7687,0.0013268,0.0013268,0.0013268
19,699.531,1.13803,1.35831,1.30731,0.68198,0.52174,0.55306,0.32125,1.66482,3.36743,1.70374,0.0012872,0.0012872,0.0012872
20,739.921,1.2007,1.41383,1.36988,0.43252,0.52174,0.4436,0.27048,1.5154,3.03692,1.55355,0.0012476,0.0012476,0.0012476
21,780.618,1.11451,1.19865,1.28375,0.48506,0.56522,0.50888,0.28943,1.58914,2.50837,1.6499,0.001208,0.001208,0.001208
22,820.474,1.11075,1.17395,1.26225,0.8363,0.6669,0.71059,0.3715,1.75373,2.18142,1.83239,0.0011684,0.0011684,0.0011684
23,860.023,1.03436,1.10125,1.26482,0.89363,0.73087,0.84329,0.4538,1.68087,1.75355,1.74302,0.0011288,0.0011288,0.0011288
24,899.914,1.06612,1.25566,1.31645,0.84488,0.73913,0.76814,0.40916,1.77119,1.99273,1.77354,0.0010892,0.0010892,0.0010892
25,939.48,1.04215,1.23332,1.23496,0.78528,0.86957,0.8447,0.47403,1.48195,1.80007,1.47104,0.0010496,0.0010496,0.0010496
26,980.742,1.02801,1.15497,1.24065,1,0.76694,0.91267,0.58376,1.30964,1.3878,1.35015,0.00101,0.00101,0.00101
27,1020.13,1.0353,1.11791,1.23629,0.90703,0.84887,0.91825,0.60375,1.23756,1.41287,1.32757,0.0009704,0.0009704,0.0009704
28,1061.73,0.99589,1.06053,1.23179,0.93944,0.73913,0.8709,0.49811,1.40661,1.52212,1.49176,0.0009308,0.0009308,0.0009308
29,1104.47,0.96676,1.04856,1.21834,0.79062,0.82106,0.82113,0.46591,1.40413,1.58469,1.54582,0.0008912,0.0008912,0.0008912
